#{"t_start": 1690534340.438434, "env_id": "highway-v0"}
r,l,t
30.596715,40,3405.668669
4.77665,7,3407.643118
5.703195,7,3409.650321
16.76506,22,3415.986401
7.729238,11,3419.160881
4.883653,6,3420.902034
17.192392,19,3426.270122
9.087097,12,3429.766613
2.872132,5,3431.218482
5.195327,7,3433.213965
23.415153,32,3442.29387
29.945139,40,3453.749094
3.048516,5,3455.154755
9.837387,14,3459.095174
4.398954,6,3460.853895
3.892562,5,3462.321897
14.639716,18,3467.585265
2.895827,4,3468.701125
13.641836,16,3473.229994
8.929896,13,3476.97785
3.48433,5,3478.385241
6.794497,9,3481.083107
7.222752,10,3483.997175
13.662197,20,3489.717746
15.108799,19,3495.128727
21.456522,27,3502.803777
22.97179,31,3511.661567
1.976319,3,3512.597515
11.222555,16,3517.137148
4.155146,5,3518.596171
1.97209,3,3519.487934
2.016534,3,3520.374915
8.891731,12,3523.779652
26.142244,33,3533.38549
13.469362,20,3539.161861
13.683967,18,3544.313845
16.739117,19,3549.764385
2.798501,4,3550.933874
8.737888,11,3563.952076
9.287208,13,3567.777544
6.691037,10,3570.655408
6.242861,9,3573.240955
13.904348,16,3577.724753
1.751574,3,3578.631534
12.926176,16,3583.405946
7.594265,9,3585.968612
2.594972,4,3587.139561
3.243758,5,3588.607174
27.849566,40,3600.09752
8.108731,11,3603.313044
1.069811,2,3603.922523
8.155556,12,3607.412088
15.477684,21,3613.360027
18.491166,26,3620.954947
3.427458,6,3622.689441
3.510054,5,3624.149317
4.836719,6,3625.861431
32.773686,40,3637.282897
11.037944,14,3641.278953
35.523399,40,3652.72768
29.504933,40,3664.170466
1.905423,3,3665.035657
3.649313,5,3666.507121
30.079334,40,3677.835555
6.058532,8,3680.088888
3.263963,5,3681.523774
20.978135,26,3689.030351
22.321367,30,3697.427377
7.283504,10,3700.296631
9.974449,12,3703.728233
12.330395,16,3708.257992
9.172519,11,3711.435157
1.686163,3,3712.280928
15.56631,19,3717.597916
14.347773,19,3722.957471
30.078102,40,3734.263352
8.237711,10,3737.117631
9.842152,12,3740.473155
10.322907,13,3744.091929
10.423113,14,3748.01444
6.214248,8,3750.279319
2.904755,4,3751.475221
13.59776,19,3756.894333
18.353319,24,3763.617212
22.713921,32,3772.713192
4.417446,6,3774.490332
18.431045,25,3781.569345
18.143632,25,3788.89118
32.695375,38,3799.790002
17.730371,21,3805.930173
21.838669,31,3814.869296
2.838089,4,3816.0107
1.951099,3,3816.878284
1.86221,3,3817.770828
1.707864,3,3818.645061
31.973828,40,3830.036736
1.755556,3,3830.900736
22.413509,28,3838.861253
8.000571,10,3841.755352
4.665843,7,3843.727849
5.19554,7,3845.741424
1.72944,3,3846.610312
3.439055,5,3848.019922
34.517844,40,3859.471499
12.928656,16,3864.074751
4.182234,7,3866.073903
13.372787,18,3871.227797
11.997361,17,3876.091339
4.979377,7,3878.074783
3.815866,5,3879.516229
5.152308,7,3881.558439
1.731846,3,3882.396432
27.413252,38,3893.2776
5.92577,7,3895.309253
16.635394,23,3901.832104
3.442945,5,3903.241981
11.123029,13,3907.125307
4.414802,6,3908.85512
13.467701,19,3914.256812
0.977215,2,3914.838132
4.371519,6,3916.610347
3.935054,6,3918.365201
4.484546,6,3920.080757
1.842386,3,3920.950034
10.544909,12,3924.375546
11.798721,15,3928.569472
5.85828,8,3930.99496
14.522055,19,3936.46368
12.913189,16,3941.09096
11.27701,13,3944.764505
18.907217,25,3951.990753
7.840199,11,3955.250761
24.016339,30,3963.806714
1.090102,2,3964.406279
6.792547,9,3966.945514
13.560251,19,3972.498816
17.34287,20,3978.173777
30.063662,40,3989.521358
1.884432,3,3990.411654
0.910548,2,3990.989942
17.53396,24,4008.176686
15.685889,18,4013.250161
4.136393,6,4014.936827
11.370155,15,4019.077254
3.550516,5,4020.543056
33.710676,37,4030.988697
4.714734,7,4032.976346
12.907196,19,4038.366293
4.062484,6,4040.122121
4.574525,7,4042.08979
6.150863,8,4044.392239
7.502514,9,4046.973172
15.038679,21,4052.813763
14.414762,18,4057.901714
1.910548,3,4058.765984
9.389995,12,4062.242306
5.017791,7,4064.25853
11.399566,16,4068.830937
9.127558,13,4072.488007
28.620966,40,4084.026298
4.683727,7,4086.039671
17.978719,25,4093.282686
23.553351,31,4102.143752
13.541295,17,4107.130244
7.753125,11,4110.214736
7.129322,10,4113.087848
5.904361,7,4115.138272
8.772766,13,4118.946966
10.087085,13,4122.637106
3.902169,5,4124.061573
13.906348,19,4129.524943
7.392761,9,4132.162613
12.555207,18,4137.409957
1.888326,3,4138.280441
4.5909,6,4140.1009
3.733859,6,4141.847506
3.60281,5,4143.251882
3.892017,5,4144.70546
3.774541,6,4146.499963
20.682705,25,4153.712701
2.681714,4,4154.870885
1.957895,3,4155.768968
28.641034,40,4167.202587
6.01491,7,4169.228152
16.85672,21,4175.189045
12.87083,18,4180.324434
13.677658,16,4185.106309
3.204457,5,4186.585854
13.325917,19,4192.02405
2.794878,4,4193.190843
1.907217,3,4194.04103
1.619496,3,4194.92323
15.637686,21,4200.930477
8.610485,11,4204.139694
30.929259,40,4215.539276
16.222102,23,4222.221825
2.575623,4,4223.379695
5.483018,7,4225.383424
2.269342,4,4226.550108
22.060643,28,4234.504007
12.864559,17,4239.363795
3.849994,5,4240.824992
7.994456,10,4243.682492
13.281026,19,4249.134081
13.728862,17,4254.035556
23.133006,33,4263.351137
13.040102,19,4268.771486
20.237227,25,4275.966209
5.871922,9,4278.61388
14.409817,20,4284.308728
0.954993,2,4284.927438
13.48181,19,4290.430153
2.531275,4,4291.585774
11.017115,15,4295.844885
21.841795,29,4304.111225
14.703783,19,4309.489673
1.77453,3,4310.358315
25.369974,32,4319.469706
1.194312,2,4320.108321
4.997476,7,4322.116361
25.808115,32,4331.221377
24.968928,32,4340.31979
7.812515,9,4342.844718
14.212721,19,4348.30307
1.709053,3,4349.203509
5.57752,8,4351.451932
4.371822,6,4353.195701
16.291282,24,4359.879909
11.706454,14,4363.890741
8.57614,10,4366.806887
5.572519,7,4368.772123
7.790228,10,4371.586584
6.017544,8,4373.856745
4.707586,6,4375.54571
9.084038,11,4378.612769
20.333634,23,4385.28234
12.250908,14,4389.312897
23.220799,29,4397.617419
33.146308,40,4409.163447
8.801898,13,4412.898406
3.348929,5,4414.391066
9.085661,13,4418.162619
4.51417,7,4420.203207
14.899817,17,4425.03633
5.171711,7,4427.035558
14.13428,21,4433.125965
5.890713,7,4446.815491
22.618106,31,4455.743894
6.841859,10,4458.60451
15.115455,22,4464.888313
2.201047,4,4466.102978
16.920578,19,4471.62028
22.322833,31,4480.50595
22.953347,29,4488.913672
30.976494,40,4500.237154
10.7439,15,4504.652189
30.563229,39,4515.808589
2.016534,3,4516.667261
2.910605,4,4517.833609
5.195438,7,4519.813574
15.600387,19,4525.429129
17.30266,22,4531.846065
6.703926,8,4534.163421
5.14812,7,4536.102585
23.406119,26,4543.574979
13.461637,19,4548.957203
12.66072,18,4554.040795
3.793524,5,4555.517032
10.754692,14,4559.564766
1.6,3,4560.453279
